Region,Country Code,Country,Year,Indicator Code,Indicator Name,Indicator Short Name,Category,Value Type,Sum of Value,Sum of Previous Year Value,Sum of Growth Rate %,Sum of Country Share %
East Asia,CHN,China,2014,NY.GDP.PCAP.CD,GDP Per Capita Current US$,GDP per Capita,Economy,US Dollars,7781.06597484974,7147.03518622344,8.87%,5.04%
East Asia,CHN,China,2014,SL.UEM.TOTL.ZS,Unemployment Total %,Unemployment,Labor,Percentage,4.63,4.6,0.65%,7.58%
East Asia,CHN,China,2014,SP.POP.TOTL,Total Population,Population,Population,People,1371860000,1363240000,0.63%,38.55%
East Asia,CHN,China,2015,FP.CPI.TOTL.ZG,Inflation Annual %,Inflation,Economy,Percentage,1.43702380935654,1.9216416278852,-25.22%,2.94%
East Asia,CHN,China,2015,NE.EXP.GNFS.ZS,Exports of Goods and Services % of GDP,Exports % GDP,Trade,Percentage,20.9390642234326,23.0719766947263,-9.24%,5.51%
East Asia,CHN,China,2015,NV.AGR.TOTL.ZS,Agriculture Value Added % of GDP,Agriculture % GDP,Agriculture,Percentage,8.22401359479525,8.48242940933654,-3.05%,6.27%
East Asia,CHN,China,2015,NY.GDP.MKTP.CD,GDP Current US$,GDP,Economy,US Dollars,11280814787468.9,10674533168257.4,5.68%,60.55%
East Asia,CHN,China,2015,NY.GDP.PCAP.CD,GDP Per Capita Current US$,GDP per Capita,Economy,US Dollars,8175.33285077393,7781.06597484974,5.07%,5.85%
East Asia,CHN,China,2015,SL.UEM.TOTL.ZS,Unemployment Total %,Unemployment,Labor,Percentage,4.65,4.63,0.43%,7.24%
East Asia,CHN,China,2015,SP.POP.TOTL,Total Population,Population,Population,People,1379860000,1371860000,0.58%,38.39%
East Asia,CHN,China,2016,FP.CPI.TOTL.ZG,Inflation Annual %,Inflation,Economy,Percentage,2.00000182191943,1.43702380935654,39.18%,4.25%
East Asia,CHN,China,2016,NE.EXP.GNFS.ZS,Exports of Goods and Services % of GDP,Exports % GDP,Trade,Percentage,19.2036507365412,20.9390642234326,-8.29%,5.33%
East Asia,CHN,China,2016,NV.AGR.TOTL.ZS,Agriculture Value Added % of GDP,Agriculture % GDP,Agriculture,Percentage,7.90065017505416,8.22401359479525,-3.93%,6.25%
East Asia,CHN,China,2016,NY.GDP.MKTP.CD,GDP Current US$,GDP,Economy,US Dollars,11456024084962,11280814787468.9,1.55%,59.68%
